metric,mean(var),std,min,max,var
accuracy,0.863(0.019),0.0189,0.8337,0.8933,0.0004
precision,0.867(0.020),0.0196,0.8388,0.8956,0.0004
recall,0.863(0.019),0.0189,0.8337,0.8933,0.0004
f1_score,0.862(0.020),0.0195,0.8342,0.8935,0.0004

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8586,0.8608,0.8586,0.8579
2,0.8710,0.8730,0.8710,0.8709
3,0.8437,0.8489,0.8437,0.8446
4,0.8511,0.8549,0.8511,0.8480
5,0.8933,0.8956,0.8933,0.8935
6,0.8784,0.8821,0.8784,0.8765
7,0.8337,0.8411,0.8337,0.8342
8,0.8710,0.8852,0.8710,0.8743
9,0.8834,0.8878,0.8834,0.8811
10,0.8412,0.8388,0.8412,0.8350
