metric,mean(var),std,min,max,var
accuracy,0.885(0.016),0.0155,0.8546,0.9098,0.0002
precision,0.889(0.014),0.0139,0.8669,0.9129,0.0002
recall,0.885(0.016),0.0155,0.8546,0.9098,0.0002
f1_score,0.884(0.017),0.0169,0.8514,0.9099,0.0003

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8922,0.8981,0.8922,0.8936
2,0.8997,0.9011,0.8997,0.8993
3,0.8546,0.8669,0.8546,0.8514
4,0.8697,0.8744,0.8697,0.8689
5,0.8822,0.8836,0.8822,0.8812
6,0.8722,0.8720,0.8722,0.8659
7,0.8797,0.8908,0.8797,0.8800
8,0.9098,0.9129,0.9098,0.9099
9,0.8972,0.8984,0.8972,0.8972
10,0.8897,0.8940,0.8897,0.8902
