metric,mean(var),std,min,max,var
accuracy,0.748(0.023),0.0229,0.7143,0.7873,0.0005
precision,0.753(0.025),0.0250,0.7164,0.7914,0.0006
recall,0.748(0.023),0.0229,0.7143,0.7873,0.0005
f1_score,0.748(0.023),0.0234,0.7137,0.7847,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7873,0.7914,0.7873,0.7847
2,0.7556,0.7548,0.7556,0.7537
3,0.7746,0.7860,0.7746,0.7774
4,0.7143,0.7164,0.7143,0.7142
5,0.7206,0.7213,0.7206,0.7203
6,0.7492,0.7485,0.7492,0.7470
7,0.7556,0.7738,0.7556,0.7576
8,0.7556,0.7539,0.7556,0.7543
9,0.7175,0.7234,0.7175,0.7137
10,0.7524,0.7564,0.7524,0.7532
