metric,mean(var),std,min,max,var
accuracy,0.737(0.050),0.0495,0.6571,0.8286,0.0025
precision,0.742(0.051),0.0507,0.6506,0.8309,0.0026
recall,0.737(0.050),0.0495,0.6571,0.8286,0.0025
f1_score,0.737(0.051),0.0513,0.6480,0.8290,0.0026

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7810,0.7811,0.7810,0.7800
2,0.7397,0.7458,0.7397,0.7421
3,0.6794,0.6889,0.6794,0.6812
4,0.7714,0.7802,0.7714,0.7725
5,0.6571,0.6506,0.6571,0.6480
6,0.7333,0.7354,0.7333,0.7325
7,0.7524,0.7653,0.7524,0.7538
8,0.8286,0.8309,0.8286,0.8290
9,0.6825,0.6887,0.6825,0.6799
10,0.7460,0.7557,0.7460,0.7494
