metric,mean(var),std,min,max,var
accuracy,0.742(0.023),0.0228,0.7111,0.7841,0.0005
precision,0.752(0.029),0.0289,0.7115,0.7959,0.0008
recall,0.742(0.023),0.0228,0.7111,0.7841,0.0005
f1_score,0.740(0.022),0.0223,0.7046,0.7785,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7841,0.7959,0.7841,0.7785
2,0.7397,0.7573,0.7397,0.7420
3,0.7111,0.7115,0.7111,0.7046
4,0.7397,0.7415,0.7397,0.7397
5,0.7143,0.7120,0.7143,0.7128
6,0.7175,0.7212,0.7175,0.7151
7,0.7460,0.7499,0.7460,0.7463
8,0.7619,0.7864,0.7619,0.7529
9,0.7397,0.7617,0.7397,0.7398
10,0.7683,0.7802,0.7683,0.7659
