metric,mean(var),std,min,max,var
accuracy,0.614(0.030),0.0297,0.5587,0.6508,0.0009
precision,0.631(0.030),0.0303,0.5586,0.6764,0.0009
recall,0.614(0.030),0.0297,0.5587,0.6508,0.0009
f1_score,0.606(0.033),0.0329,0.5507,0.6488,0.0011

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6032,0.6326,0.6032,0.5845
2,0.6508,0.6764,0.6508,0.6393
3,0.5841,0.6167,0.5841,0.5709
4,0.6032,0.6315,0.6032,0.5886
5,0.6508,0.6580,0.6508,0.6488
6,0.6444,0.6529,0.6444,0.6438
7,0.6095,0.6258,0.6095,0.6054
8,0.6381,0.6449,0.6381,0.6402
9,0.5937,0.6159,0.5937,0.5917
10,0.5587,0.5586,0.5587,0.5507
