metric,mean(var),std,min,max,var
accuracy,0.732(0.041),0.0413,0.6698,0.7937,0.0017
precision,0.745(0.043),0.0426,0.6669,0.8142,0.0018
recall,0.732(0.041),0.0413,0.6698,0.7937,0.0017
f1_score,0.732(0.042),0.0425,0.6660,0.7915,0.0018

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7460,0.7626,0.7460,0.7460
2,0.6762,0.6832,0.6762,0.6728
3,0.7937,0.8142,0.7937,0.7915
4,0.7873,0.7880,0.7873,0.7874
5,0.7460,0.7527,0.7460,0.7466
6,0.7587,0.7662,0.7587,0.7587
7,0.7111,0.7180,0.7111,0.7107
8,0.6698,0.6669,0.6698,0.6660
9,0.6921,0.7432,0.6921,0.6897
10,0.7429,0.7511,0.7429,0.7460
