metric,mean(var),std,min,max,var
accuracy,0.602(0.058),0.0577,0.5143,0.7143,0.0033
precision,0.613(0.056),0.0556,0.5321,0.7253,0.0031
recall,0.602(0.058),0.0577,0.5143,0.7143,0.0033
f1_score,0.599(0.060),0.0597,0.5081,0.7170,0.0036

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6190,0.6238,0.6190,0.6154
2,0.6127,0.6165,0.6127,0.6128
3,0.5873,0.6134,0.5873,0.5866
4,0.5587,0.5703,0.5587,0.5579
5,0.5270,0.5336,0.5270,0.5204
6,0.5143,0.5321,0.5143,0.5081
7,0.5873,0.6087,0.5873,0.5794
8,0.7143,0.7253,0.7143,0.7170
9,0.6603,0.6672,0.6603,0.6562
10,0.6381,0.6362,0.6381,0.6351
