metric,mean(var),std,min,max,var
accuracy,0.651(0.106),0.1060,0.4889,0.7714,0.0112
precision,0.675(0.108),0.1084,0.4589,0.8055,0.0117
recall,0.651(0.106),0.1060,0.4889,0.7714,0.0112
f1_score,0.634(0.120),0.1198,0.4376,0.7715,0.0143

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7714,0.7814,0.7714,0.7715
2,0.5111,0.6000,0.5111,0.4565
3,0.7238,0.7415,0.7238,0.7159
4,0.7048,0.7544,0.7048,0.6825
5,0.6571,0.6723,0.6571,0.6524
6,0.7683,0.8055,0.7683,0.7594
7,0.7333,0.7412,0.7333,0.7324
8,0.4984,0.5282,0.4984,0.4940
9,0.4889,0.4589,0.4889,0.4376
10,0.6540,0.6640,0.6540,0.6345
