metric,mean(var),std,min,max,var
accuracy,0.577(0.002),0.0389,0.5016,0.6571,0.0015
precision,0.596(0.003),0.0506,0.5028,0.6739,0.0026
recall,0.577(0.002),0.0389,0.5016,0.6571,0.0015
f1_score,0.561(0.001),0.0387,0.4933,0.6464,0.0015

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5016,0.5028,0.5016,0.4933
2,0.5905,0.6142,0.5905,0.5645
3,0.5746,0.6548,0.5746,0.5237
4,0.5714,0.5700,0.5714,0.5652
5,0.5587,0.5737,0.5587,0.5406
6,0.5492,0.5544,0.5492,0.5502
7,0.5651,0.5767,0.5651,0.5541
8,0.6159,0.6564,0.6159,0.5857
9,0.6571,0.6739,0.6571,0.6464
10,0.5841,0.5857,0.5841,0.5823
