metric,mean(var),std,min,max,var
accuracy,0.827(0.001),0.0332,0.7694,0.8672,0.0011
precision,0.834(0.001),0.0321,0.7705,0.8729,0.0010
recall,0.827(0.001),0.0332,0.7694,0.8672,0.0011
f1_score,0.822(0.001),0.0357,0.7627,0.8670,0.0013

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7920,0.8012,0.7920,0.7807
2,0.8647,0.8663,0.8647,0.8610
3,0.8672,0.8729,0.8672,0.8670
4,0.8246,0.8361,0.8246,0.8242
5,0.8195,0.8312,0.8195,0.8118
6,0.8045,0.8111,0.8045,0.7959
7,0.7694,0.7705,0.7694,0.7627
8,0.8647,0.8680,0.8647,0.8615
9,0.8596,0.8606,0.8596,0.8561
10,0.8070,0.8174,0.8070,0.7997
