metric,mean(var),std,min,max,var
accuracy,0.641(0.002),0.0429,0.5524,0.7175,0.0018
precision,0.649(0.002),0.0483,0.5449,0.7440,0.0023
recall,0.641(0.002),0.0429,0.5524,0.7175,0.0018
f1_score,0.635(0.002),0.0421,0.5480,0.7108,0.0018

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6635,0.6605,0.6635,0.6473
2,0.6381,0.6526,0.6381,0.6314
3,0.6254,0.6167,0.6254,0.6179
4,0.6159,0.6232,0.6159,0.6034
5,0.5524,0.5449,0.5524,0.5480
6,0.7175,0.7440,0.7175,0.7108
7,0.6286,0.6491,0.6286,0.6295
8,0.6159,0.6427,0.6159,0.6236
9,0.6857,0.6818,0.6857,0.6801
10,0.6635,0.6725,0.6635,0.6621
