metric,mean(var),std,min,max,var
accuracy,0.823(0.039),0.0392,0.7494,0.8647,0.0015
precision,0.830(0.035),0.0353,0.7630,0.8647,0.0012
recall,0.823(0.039),0.0392,0.7494,0.8647,0.0015
f1_score,0.816(0.041),0.0412,0.7430,0.8595,0.0017

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8546,0.8586,0.8546,0.8505
2,0.8521,0.8581,0.8521,0.8503
3,0.8571,0.8592,0.8571,0.8538
4,0.8195,0.8294,0.8195,0.8135
5,0.7970,0.8021,0.7970,0.7886
6,0.8321,0.8500,0.8321,0.8182
7,0.8647,0.8647,0.8647,0.8595
8,0.8421,0.8428,0.8421,0.8383
9,0.7494,0.7756,0.7494,0.7430
10,0.7594,0.7630,0.7594,0.7476
