metric,mean(var),std,min,max,var
accuracy,0.550(0.028),0.0281,0.5016,0.5841,0.0008
precision,0.588(0.049),0.0487,0.5203,0.6715,0.0024
recall,0.550(0.028),0.0281,0.5016,0.5841,0.0008
f1_score,0.525(0.037),0.0369,0.4481,0.5646,0.0014

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5016,0.5203,0.5016,0.5082
2,0.5175,0.6715,0.5175,0.4481
3,0.5238,0.5208,0.5238,0.5027
4,0.5810,0.6132,0.5810,0.5625
5,0.5778,0.5822,0.5778,0.5616
6,0.5619,0.5995,0.5619,0.5526
7,0.5714,0.5462,0.5714,0.5457
8,0.5365,0.6526,0.5365,0.4915
9,0.5397,0.5661,0.5397,0.5078
10,0.5841,0.6099,0.5841,0.5646
