metric,mean(var),std,min,max,var
accuracy,0.772(0.024),0.0236,0.7333,0.8095,0.0006
precision,0.782(0.027),0.0272,0.7270,0.8205,0.0007
recall,0.772(0.024),0.0236,0.7333,0.8095,0.0006
f1_score,0.771(0.023),0.0235,0.7288,0.8058,0.0006

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7746,0.7863,0.7746,0.7769
2,0.7937,0.8185,0.7937,0.7947
3,0.7873,0.7879,0.7873,0.7865
4,0.7810,0.7852,0.7810,0.7795
5,0.7429,0.7486,0.7429,0.7405
6,0.7683,0.7916,0.7683,0.7678
7,0.7429,0.7669,0.7429,0.7481
8,0.7841,0.7882,0.7841,0.7836
9,0.7333,0.7270,0.7333,0.7288
10,0.8095,0.8205,0.8095,0.8058
