metric,mean(var),std,min,max,var
accuracy,0.805(0.028),0.0281,0.7444,0.8421,0.0008
precision,0.819(0.021),0.0213,0.7891,0.8563,0.0005
recall,0.805(0.028),0.0281,0.7444,0.8421,0.0008
f1_score,0.802(0.026),0.0261,0.7540,0.8419,0.0007

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8145,0.8199,0.8145,0.8057
2,0.8421,0.8563,0.8421,0.8419
3,0.8396,0.8450,0.8396,0.8387
4,0.7870,0.8097,0.7870,0.7862
5,0.7845,0.7891,0.7845,0.7770
6,0.8321,0.8426,0.8321,0.8240
7,0.8070,0.8154,0.8070,0.8042
8,0.7444,0.7947,0.7444,0.7540
9,0.7970,0.8051,0.7970,0.7894
10,0.7995,0.8079,0.7995,0.7951
