metric,mean(var),std,min,max,var
accuracy,0.808(0.044),0.0445,0.7270,0.8635,0.0020
precision,0.824(0.035),0.0354,0.7556,0.8662,0.0013
recall,0.808(0.044),0.0445,0.7270,0.8635,0.0020
f1_score,0.806(0.046),0.0461,0.7145,0.8619,0.0021

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8444,0.8480,0.8444,0.8444
2,0.8603,0.8662,0.8603,0.8590
3,0.8444,0.8493,0.8444,0.8437
4,0.7714,0.8149,0.7714,0.7733
5,0.8095,0.8234,0.8095,0.8082
6,0.7651,0.7764,0.7651,0.7648
7,0.7714,0.7993,0.7714,0.7724
8,0.8222,0.8389,0.8222,0.8188
9,0.8635,0.8654,0.8635,0.8619
10,0.7270,0.7556,0.7270,0.7145
