metric,mean(var),std,min,max,var
accuracy,0.865(0.035),0.0352,0.7778,0.9079,0.0012
precision,0.871(0.030),0.0303,0.7978,0.9105,0.0009
recall,0.865(0.035),0.0352,0.7778,0.9079,0.0012
f1_score,0.865(0.037),0.0367,0.7721,0.9085,0.0013

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.9079,0.9105,0.9079,0.9085
2,0.8413,0.8496,0.8413,0.8417
3,0.8635,0.8714,0.8635,0.8623
4,0.8667,0.8738,0.8667,0.8669
5,0.8762,0.8804,0.8762,0.8767
6,0.7778,0.7978,0.7778,0.7721
7,0.8571,0.8589,0.8571,0.8575
8,0.8889,0.8899,0.8889,0.8891
9,0.8698,0.8758,0.8698,0.8713
10,0.9048,0.9057,0.9048,0.9050
