metric,mean(var),std,min,max,var
accuracy,0.943(0.000),0.0115,0.9175,0.9587,0.0001
precision,0.945(0.000),0.0102,0.9266,0.9603,0.0001
recall,0.943(0.000),0.0115,0.9175,0.9587,0.0001
f1_score,0.943(0.000),0.0118,0.9166,0.9590,0.0001

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.9333,0.9346,0.9333,0.9336
2,0.9524,0.9558,0.9524,0.9528
3,0.9524,0.9544,0.9524,0.9530
4,0.9587,0.9603,0.9587,0.9590
5,0.9429,0.9445,0.9429,0.9433
6,0.9333,0.9351,0.9333,0.9332
7,0.9397,0.9408,0.9397,0.9396
8,0.9492,0.9499,0.9492,0.9494
9,0.9460,0.9480,0.9460,0.9455
10,0.9175,0.9266,0.9175,0.9166
