metric,mean(var),std,min,max,var
accuracy,0.864(0.001),0.0280,0.8271,0.9223,0.0008
precision,0.872(0.001),0.0239,0.8368,0.9231,0.0006
recall,0.864(0.001),0.0280,0.8271,0.9223,0.0008
f1_score,0.862(0.001),0.0282,0.8278,0.9219,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8346,0.8548,0.8346,0.8345
2,0.8697,0.8779,0.8697,0.8654
3,0.8872,0.8903,0.8872,0.8845
4,0.9223,0.9231,0.9223,0.9219
5,0.8672,0.8804,0.8672,0.8656
6,0.8271,0.8425,0.8271,0.8278
7,0.8747,0.8761,0.8747,0.8718
8,0.8772,0.8775,0.8772,0.8755
9,0.8346,0.8368,0.8346,0.8288
10,0.8421,0.8577,0.8421,0.8395
