metric,mean(var),std,min,max,var
accuracy,0.828(0.028),0.0282,0.7890,0.8825,0.0008
precision,0.840(0.025),0.0250,0.8035,0.8901,0.0006
recall,0.828(0.028),0.0282,0.7890,0.8825,0.0008
f1_score,0.827(0.028),0.0284,0.7853,0.8824,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8465,0.8657,0.8465,0.8476
2,0.8153,0.8312,0.8153,0.8186
3,0.8825,0.8901,0.8825,0.8824
4,0.7914,0.8087,0.7914,0.7872
5,0.8585,0.8589,0.8585,0.8551
6,0.7890,0.8035,0.7890,0.7853
7,0.8369,0.8452,0.8369,0.8342
8,0.8297,0.8388,0.8297,0.8271
9,0.8034,0.8281,0.8034,0.8105
10,0.8249,0.8270,0.8249,0.8179
