metric,mean(var),std,min,max,var
accuracy,0.881(0.001),0.0232,0.8286,0.9079,0.0005
precision,0.894(0.000),0.0201,0.8626,0.9284,0.0004
recall,0.881(0.001),0.0232,0.8286,0.9079,0.0005
f1_score,0.881(0.001),0.0227,0.8336,0.9109,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8286,0.8665,0.8286,0.8336
2,0.9048,0.9177,0.9048,0.9053
3,0.9016,0.9078,0.9016,0.9015
4,0.9079,0.9284,0.9079,0.9109
5,0.8952,0.9031,0.8952,0.8955
6,0.8571,0.8626,0.8571,0.8567
7,0.8730,0.8866,0.8730,0.8689
8,0.8762,0.8848,0.8762,0.8769
9,0.8762,0.8824,0.8762,0.8762
10,0.8857,0.8963,0.8857,0.8847
