metric,mean(var),std,min,max,var
accuracy,0.845(0.025),0.0251,0.8170,0.8897,0.0006
precision,0.859(0.021),0.0211,0.8224,0.8918,0.0004
recall,0.845(0.025),0.0251,0.8170,0.8897,0.0006
f1_score,0.840(0.027),0.0272,0.8032,0.8865,0.0007

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8647,0.8743,0.8647,0.8664
2,0.8271,0.8426,0.8271,0.8178
3,0.8170,0.8345,0.8170,0.8032
4,0.8246,0.8636,0.8246,0.8291
5,0.8747,0.8794,0.8747,0.8748
6,0.8496,0.8703,0.8496,0.8388
7,0.8596,0.8711,0.8596,0.8554
8,0.8897,0.8918,0.8897,0.8865
9,0.8195,0.8224,0.8195,0.8160
10,0.8195,0.8446,0.8195,0.8163
