metric,mean(var),std,min,max,var
accuracy,0.830(0.025),0.0248,0.7778,0.8667,0.0006
precision,0.854(0.018),0.0179,0.8182,0.8832,0.0003
recall,0.830(0.025),0.0248,0.7778,0.8667,0.0006
f1_score,0.830(0.024),0.0242,0.7826,0.8674,0.0006

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7778,0.8395,0.7778,0.7826
2,0.8159,0.8182,0.8159,0.8115
3,0.8444,0.8631,0.8444,0.8454
4,0.8254,0.8451,0.8254,0.8224
5,0.8095,0.8526,0.8095,0.8125
6,0.8476,0.8692,0.8476,0.8481
7,0.8667,0.8832,0.8667,0.8674
8,0.8286,0.8514,0.8286,0.8285
9,0.8603,0.8729,0.8603,0.8601
10,0.8254,0.8442,0.8254,0.8237
