metric,mean,std,min,max,var
accuracy,0.8035,0.0644,0.6917,0.8947,0.0041
precision,0.8408,0.0456,0.7448,0.9019,0.0021
recall,0.8035,0.0644,0.6917,0.8947,0.0041
f1_score,0.8016,0.0703,0.6565,0.8950,0.0049

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8446,0.8770,0.8446,0.8497
2,0.7469,0.8418,0.7469,0.7639
3,0.8672,0.8707,0.8672,0.8664
4,0.8947,0.9019,0.8947,0.8950
5,0.7669,0.7995,0.7669,0.7444
6,0.7494,0.7959,0.7494,0.7556
7,0.8647,0.8709,0.8647,0.8596
8,0.8471,0.8716,0.8471,0.8491
9,0.7619,0.8334,0.7619,0.7755
10,0.6917,0.7448,0.6917,0.6565
