metric,mean,std,min,max,var
accuracy,0.7387,0.0278,0.6698,0.7651,0.0008
precision,0.7487,0.0266,0.6792,0.7755,0.0007
recall,0.7387,0.0278,0.6698,0.7651,0.0008
f1_score,0.7373,0.0271,0.6728,0.7630,0.0007

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7556,0.7641,0.7556,0.7531
2,0.6698,0.6792,0.6698,0.6728
3,0.7556,0.7564,0.7556,0.7545
4,0.7270,0.7312,0.7270,0.7229
5,0.7175,0.7536,0.7175,0.7120
6,0.7651,0.7627,0.7651,0.7630
7,0.7587,0.7619,0.7587,0.7585
8,0.7651,0.7755,0.7651,0.7630
9,0.7365,0.7674,0.7365,0.7387
10,0.7365,0.7348,0.7365,0.7345
