metric,mean(var),std,min,max,var
accuracy,0.496(0.001),0.0268,0.4442,0.5335,0.0007
precision,0.2902(0.0014),0.0369,0.1978,0.3288,0.0014
recall,0.4960(0.0007),0.0268,0.4442,0.5335,0.0007
f1_score,0.3621(0.0012),0.0353,0.2737,0.3905,0.0012

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.4864,0.3131,0.4864,0.3738
2,0.5037,0.3003,0.5037,0.3745
3,0.5037,0.2844,0.5037,0.3621
4,0.5261,0.3067,0.5261,0.3871
5,0.4789,0.3288,0.4789,0.3784
6,0.5062,0.3146,0.5062,0.3835
7,0.5161,0.2991,0.5161,0.3787
8,0.5335,0.3081,0.5335,0.3905
9,0.4442,0.1978,0.4442,0.2737
10,0.4615,0.2496,0.4615,0.3186
