metric,mean,std,min,max,var
accuracy,0.5460,0.0190,0.4889,0.5524,0.0004
precision,0.3564,0.0296,0.3466,0.4451,0.0009
recall,0.5460,0.0190,0.4889,0.5524,0.0004
f1_score,0.4139,0.0074,0.4114,0.4359,0.0001

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5524,0.3466,0.5524,0.4114
2,0.5524,0.3466,0.5524,0.4114
3,0.5524,0.3466,0.5524,0.4114
4,0.5524,0.3466,0.5524,0.4114
5,0.5524,0.3466,0.5524,0.4114
6,0.5524,0.3466,0.5524,0.4114
7,0.4889,0.4451,0.4889,0.4359
8,0.5524,0.3466,0.5524,0.4114
9,0.5524,0.3466,0.5524,0.4114
10,0.5524,0.3466,0.5524,0.4114
