metric,mean,std,min,max,var
accuracy,0.8005,0.0206,0.7669,0.8396,0.0004
precision,0.8224,0.0192,0.7999,0.8559,0.0004
recall,0.8005,0.0206,0.7669,0.8396,0.0004
f1_score,0.7933,0.0223,0.7545,0.8360,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7945,0.8057,0.7945,0.7827
2,0.8396,0.8559,0.8396,0.8360
3,0.8045,0.8492,0.8045,0.7939
4,0.7970,0.8130,0.7970,0.7877
5,0.7870,0.8028,0.7870,0.7800
6,0.8095,0.8206,0.8095,0.8085
7,0.8271,0.8428,0.8271,0.8195
8,0.8020,0.8242,0.8020,0.7968
9,0.7769,0.7999,0.7769,0.7545
10,0.7669,0.8094,0.7669,0.7733
