metric,mean,std,min,max,var
accuracy,0.5724,0.0369,0.4952,0.6222,0.0014
precision,0.6317,0.0509,0.5630,0.7010,0.0026
recall,0.5724,0.0369,0.4952,0.6222,0.0014
f1_score,0.5376,0.0436,0.4643,0.6068,0.0019

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5873,0.6376,0.5873,0.5765
2,0.5810,0.6917,0.5810,0.5286
3,0.6190,0.7010,0.6190,0.5751
4,0.5429,0.6117,0.5429,0.4880
5,0.5460,0.5660,0.5460,0.5145
6,0.4952,0.5655,0.4952,0.4643
7,0.6222,0.6827,0.6222,0.6068
8,0.6032,0.6641,0.6032,0.5813
9,0.5683,0.6333,0.5683,0.5342
10,0.5587,0.5630,0.5587,0.5069
