metric,mean(var),std,min,max,var
accuracy,0.756(0.000),0.0212,0.7368,0.8045,0.0004
precision,0.7881(0.0007),0.0267,0.7527,0.8520,0.0007
recall,0.7561(0.0004),0.0212,0.7368,0.8045,0.0004
f1_score,0.7406(0.0008),0.0287,0.7039,0.8053,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7469,0.7742,0.7469,0.7171
2,0.7870,0.8151,0.7870,0.7711
3,0.8045,0.8520,0.8045,0.8053
4,0.7619,0.7888,0.7619,0.7520
5,0.7419,0.7797,0.7419,0.7087
6,0.7469,0.7909,0.7469,0.7354
7,0.7469,0.7615,0.7469,0.7378
8,0.7368,0.7527,0.7368,0.7039
9,0.7393,0.7865,0.7393,0.7364
10,0.7494,0.7803,0.7494,0.7379
