metric,mean,std,min,max,var
accuracy,0.5432,0.0863,0.3746,0.6667,0.0075
precision,0.6026,0.0696,0.4545,0.6915,0.0049
recall,0.5432,0.0863,0.3746,0.6667,0.0075
f1_score,0.5125,0.0913,0.3578,0.6575,0.0083

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5778,0.5995,0.5778,0.5548
2,0.5873,0.6653,0.5873,0.5191
3,0.5873,0.6214,0.5873,0.5477
4,0.6667,0.6915,0.6667,0.6575
5,0.6127,0.6256,0.6127,0.5960
6,0.3746,0.5104,0.3746,0.3578
7,0.4159,0.4545,0.4159,0.3593
8,0.5524,0.6517,0.5524,0.5391
9,0.5746,0.6412,0.5746,0.5392
10,0.4825,0.5646,0.4825,0.4543
