metric,mean(var),std,min,max,var
accuracy,0.849(0.037),0.0374,0.7810,0.8921,0.0014
precision,0.862(0.027),0.0269,0.8042,0.8940,0.0007
recall,0.849(0.037),0.0374,0.7810,0.8921,0.0014
f1_score,0.847(0.040),0.0396,0.7701,0.8927,0.0016

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8698,0.8765,0.8698,0.8705
2,0.7841,0.8042,0.7841,0.7834
3,0.8540,0.8593,0.8540,0.8532
4,0.8413,0.8591,0.8413,0.8400
5,0.8698,0.8710,0.8698,0.8702
6,0.8825,0.8900,0.8825,0.8822
7,0.7810,0.8315,0.7810,0.7701
8,0.8921,0.8940,0.8921,0.8927
9,0.8794,0.8868,0.8794,0.8790
10,0.8317,0.8462,0.8317,0.8328
