metric,mean(var),std,min,max,var
accuracy,0.831(0.003),0.0543,0.7018,0.8947,0.0029
precision,0.848(0.001),0.0375,0.7796,0.8978,0.0014
recall,0.831(0.003),0.0543,0.7018,0.8947,0.0029
f1_score,0.829(0.003),0.0509,0.7169,0.8944,0.0026

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7920,0.8005,0.7920,0.7932
2,0.7018,0.7796,0.7018,0.7169
3,0.8170,0.8321,0.8170,0.8072
4,0.8697,0.8751,0.8697,0.8670
5,0.8421,0.8680,0.8421,0.8434
6,0.8797,0.8866,0.8797,0.8757
7,0.8020,0.8200,0.8020,0.7905
8,0.8947,0.8978,0.8947,0.8944
9,0.8772,0.8795,0.8772,0.8739
10,0.8321,0.8424,0.8321,0.8302
