metric,mean(var),std,min,max,var
accuracy,0.843(0.018),0.0181,0.8187,0.8764,0.0003
precision,0.849(0.018),0.0175,0.8259,0.8801,0.0003
recall,0.843(0.018),0.0181,0.8187,0.8764,0.0003
f1_score,0.839(0.018),0.0182,0.8139,0.8731,0.0003

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8214,0.8349,0.8214,0.8231
2,0.8434,0.8531,0.8434,0.8456
3,0.8434,0.8475,0.8434,0.8337
4,0.8187,0.8259,0.8187,0.8139
5,0.8709,0.8801,0.8709,0.8731
6,0.8489,0.8544,0.8489,0.8473
7,0.8764,0.8796,0.8764,0.8658
8,0.8297,0.8365,0.8297,0.8204
9,0.8324,0.8350,0.8324,0.8315
10,0.8407,0.8442,0.8407,0.8387
