metric,mean(var),std,min,max,var
accuracy,0.774(0.022),0.0218,0.7343,0.8070,0.0005
precision,0.793(0.030),0.0304,0.7150,0.8278,0.0009
recall,0.774(0.022),0.0218,0.7343,0.8070,0.0005
f1_score,0.759(0.028),0.0275,0.7098,0.8065,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8070,0.8278,0.8070,0.8065
2,0.7619,0.8043,0.7619,0.7380
3,0.7419,0.7715,0.7419,0.7278
4,0.7970,0.8128,0.7970,0.7763
5,0.7744,0.8144,0.7744,0.7603
6,0.7769,0.8013,0.7769,0.7613
7,0.7794,0.7797,0.7794,0.7523
8,0.7920,0.8093,0.7920,0.7922
9,0.7343,0.7150,0.7343,0.7098
10,0.7769,0.7986,0.7769,0.7635
