metric,mean(var),std,min,max,var
accuracy,0.854(0.027),0.0270,0.8045,0.8872,0.0007
precision,0.863(0.023),0.0231,0.8231,0.8934,0.0005
recall,0.854(0.027),0.0270,0.8045,0.8872,0.0007
f1_score,0.850(0.028),0.0278,0.7959,0.8866,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8195,0.8314,0.8195,0.8153
2,0.8622,0.8676,0.8622,0.8616
3,0.8872,0.8908,0.8872,0.8833
4,0.8521,0.8636,0.8521,0.8497
5,0.8521,0.8620,0.8521,0.8452
6,0.8271,0.8393,0.8271,0.8296
7,0.8872,0.8934,0.8872,0.8866
8,0.8722,0.8819,0.8722,0.8625
9,0.8045,0.8231,0.8045,0.7959
10,0.8722,0.8733,0.8722,0.8706
