metric,mean(var),std,min,max,var
accuracy,0.856(0.019),0.0191,0.8271,0.8897,0.0004
precision,0.866(0.015),0.0147,0.8458,0.9020,0.0002
recall,0.856(0.019),0.0191,0.8271,0.8897,0.0004
f1_score,0.853(0.021),0.0206,0.8224,0.8900,0.0004

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8271,0.8458,0.8271,0.8224
2,0.8722,0.8721,0.8722,0.8695
3,0.8672,0.8718,0.8672,0.8684
4,0.8296,0.8535,0.8296,0.8301
5,0.8647,0.8729,0.8647,0.8638
6,0.8622,0.8606,0.8622,0.8493
7,0.8897,0.9020,0.8897,0.8900
8,0.8396,0.8563,0.8396,0.8358
9,0.8446,0.8590,0.8446,0.8334
10,0.8647,0.8662,0.8647,0.8626
