metric,mean(var),std,min,max,var
accuracy,0.861(0.016),0.0159,0.8346,0.8822,0.0003
precision,0.871(0.014),0.0138,0.8448,0.8872,0.0002
recall,0.861(0.016),0.0159,0.8346,0.8822,0.0003
f1_score,0.858(0.017),0.0170,0.8327,0.8821,0.0003

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8747,0.8872,0.8747,0.8681
2,0.8371,0.8448,0.8371,0.8333
3,0.8822,0.8864,0.8822,0.8821
4,0.8722,0.8871,0.8722,0.8761
5,0.8722,0.8729,0.8722,0.8687
6,0.8546,0.8726,0.8546,0.8554
7,0.8596,0.8656,0.8596,0.8531
8,0.8346,0.8531,0.8346,0.8327
9,0.8471,0.8633,0.8471,0.8402
10,0.8722,0.8785,0.8722,0.8707
