metric,mean(var),std,min,max,var
accuracy,0.785(0.027),0.0270,0.7365,0.8222,0.0007
precision,0.792(0.025),0.0255,0.7481,0.8272,0.0006
recall,0.785(0.027),0.0270,0.7365,0.8222,0.0007
f1_score,0.784(0.028),0.0276,0.7319,0.8220,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7873,0.7962,0.7873,0.7876
2,0.8000,0.8092,0.8000,0.7981
3,0.7429,0.7481,0.7429,0.7425
4,0.8063,0.8163,0.8063,0.8053
5,0.8063,0.8104,0.8063,0.8064
6,0.8222,0.8272,0.8222,0.8220
7,0.8000,0.8032,0.8000,0.7984
8,0.7365,0.7563,0.7365,0.7319
9,0.7651,0.7658,0.7651,0.7648
10,0.7873,0.7921,0.7873,0.7852
