metric,mean(var),std,min,max,var
accuracy,0.737(0.041),0.0408,0.6381,0.8032,0.0017
precision,0.748(0.040),0.0404,0.6446,0.8038,0.0016
recall,0.737(0.041),0.0408,0.6381,0.8032,0.0017
f1_score,0.738(0.040),0.0405,0.6397,0.8015,0.0016

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7524,0.7503,0.7524,0.7505
2,0.7460,0.7652,0.7460,0.7514
3,0.7206,0.7295,0.7206,0.7225
4,0.7397,0.7552,0.7397,0.7415
5,0.7175,0.7261,0.7175,0.7134
6,0.7302,0.7671,0.7302,0.7283
7,0.6381,0.6446,0.6381,0.6397
8,0.7587,0.7653,0.7587,0.7583
9,0.7683,0.7735,0.7683,0.7696
10,0.8032,0.8038,0.8032,0.8015
