metric,mean(var),std,min,max,var
accuracy,0.742(0.018),0.0179,0.7206,0.7746,0.0003
precision,0.751(0.016),0.0162,0.7213,0.7781,0.0003
recall,0.742(0.018),0.0179,0.7206,0.7746,0.0003
f1_score,0.741(0.019),0.0192,0.7138,0.7741,0.0004

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7460,0.7506,0.7460,0.7468
2,0.7302,0.7480,0.7302,0.7322
3,0.7746,0.7773,0.7746,0.7741
4,0.7206,0.7213,0.7206,0.7192
5,0.7238,0.7392,0.7238,0.7210
6,0.7492,0.7579,0.7492,0.7496
7,0.7206,0.7423,0.7206,0.7138
8,0.7397,0.7453,0.7397,0.7411
9,0.7683,0.7781,0.7683,0.7695
10,0.7429,0.7518,0.7429,0.7404
