metric,mean(var),std,min,max,var
accuracy,0.797(0.049),0.0491,0.7068,0.8622,0.0024
precision,0.830(0.040),0.0401,0.7457,0.8780,0.0016
recall,0.797(0.049),0.0491,0.7068,0.8622,0.0024
f1_score,0.795(0.052),0.0517,0.7030,0.8552,0.0027

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7368,0.7457,0.7368,0.7030
2,0.8346,0.8387,0.8346,0.8290
3,0.8622,0.8780,0.8622,0.8552
4,0.8120,0.8450,0.8120,0.8152
5,0.7068,0.7628,0.7068,0.7074
6,0.7619,0.8434,0.7619,0.7740
7,0.8396,0.8461,0.8396,0.8373
8,0.7594,0.8338,0.7594,0.7669
9,0.8296,0.8664,0.8296,0.8350
10,0.8271,0.8402,0.8271,0.8234
