metric,mean(var),std,min,max,var
accuracy,0.735(0.001),0.0254,0.6921,0.7714,0.0006
precision,0.756(0.000),0.0217,0.7145,0.7856,0.0005
recall,0.735(0.001),0.0254,0.6921,0.7714,0.0006
f1_score,0.730(0.001),0.0312,0.6663,0.7712,0.0010

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7206,0.7472,0.7206,0.7079
2,0.6921,0.7363,0.6921,0.6663
3,0.7016,0.7145,0.7016,0.6964
4,0.7524,0.7603,0.7524,0.7533
5,0.7238,0.7708,0.7238,0.7237
6,0.7556,0.7856,0.7556,0.7573
7,0.7302,0.7351,0.7302,0.7290
8,0.7683,0.7833,0.7683,0.7617
9,0.7714,0.7713,0.7714,0.7712
10,0.7333,0.7579,0.7333,0.7285
