metric,mean(var),std,min,max,var
accuracy,0.792(0.045),0.0452,0.6700,0.8412,0.0020
precision,0.801(0.030),0.0302,0.7335,0.8430,0.0009
recall,0.792(0.045),0.0452,0.6700,0.8412,0.0020
f1_score,0.788(0.043),0.0435,0.6737,0.8390,0.0019

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8065,0.8149,0.8065,0.8082
2,0.7916,0.8002,0.7916,0.7861
3,0.8065,0.8069,0.8065,0.7964
4,0.7940,0.8042,0.7940,0.7890
5,0.6700,0.7335,0.6700,0.6737
6,0.8089,0.8094,0.8089,0.7989
7,0.8412,0.8430,0.8412,0.8390
8,0.7965,0.7979,0.7965,0.7940
9,0.7667,0.7664,0.7667,0.7623
10,0.8337,0.8373,0.8337,0.8318
