metric,mean(var),std,min,max,var
accuracy,0.743(0.002),0.0495,0.6286,0.7937,0.0024
precision,0.761(0.002),0.0470,0.6728,0.8185,0.0022
recall,0.743(0.002),0.0495,0.6286,0.7937,0.0024
f1_score,0.739(0.003),0.0510,0.6209,0.7897,0.0026

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7810,0.7990,0.7810,0.7773
2,0.6889,0.7083,0.6889,0.6865
3,0.7873,0.8021,0.7873,0.7832
4,0.7714,0.7781,0.7714,0.7696
5,0.7206,0.7225,0.7206,0.7151
6,0.7746,0.8185,0.7746,0.7796
7,0.6286,0.6728,0.6286,0.6209
8,0.7492,0.7697,0.7492,0.7437
9,0.7302,0.7320,0.7302,0.7267
10,0.7937,0.8097,0.7937,0.7897
