metric,mean(var),std,min,max,var
accuracy,0.631(0.041),0.0415,0.5302,0.6825,0.0017
precision,0.660(0.038),0.0379,0.5752,0.7016,0.0014
recall,0.631(0.041),0.0415,0.5302,0.6825,0.0017
f1_score,0.618(0.048),0.0478,0.5093,0.6801,0.0023

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6095,0.6227,0.6095,0.6146
2,0.5302,0.5752,0.5302,0.5093
3,0.6317,0.6530,0.6317,0.6303
4,0.6254,0.6473,0.6254,0.6134
5,0.6159,0.6428,0.6159,0.5932
6,0.6317,0.6899,0.6317,0.6184
7,0.6667,0.6878,0.6667,0.6627
8,0.6381,0.7016,0.6381,0.5819
9,0.6825,0.6973,0.6825,0.6801
10,0.6794,0.6815,0.6794,0.6734
