metric,mean(var),std,min,max,var
accuracy,0.749(0.003),0.0576,0.6742,0.8421,0.0033
precision,0.8121(0.0010),0.0324,0.7386,0.8593,0.0010
recall,0.7489(0.0033),0.0576,0.6742,0.8421,0.0033
f1_score,0.7432(0.0032),0.0561,0.6433,0.8259,0.0032

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7343,0.8032,0.7343,0.7278
2,0.7318,0.8079,0.7318,0.7184
3,0.8070,0.8328,0.8070,0.7983
4,0.7569,0.8251,0.7569,0.7655
5,0.8421,0.8593,0.8421,0.8259
6,0.6742,0.7915,0.6742,0.6967
7,0.7820,0.8330,0.7820,0.7788
8,0.8070,0.8400,0.8070,0.7972
9,0.6792,0.7386,0.6792,0.6433
10,0.6742,0.7896,0.6742,0.6803
