metric,mean,std,min,max,var
accuracy,0.6067,0.0140,0.5870,0.6283,0.0002
precision,0.5718,0.0168,0.5515,0.6138,0.0003
recall,0.6067,0.0140,0.5870,0.6283,0.0002
f1_score,0.5740,0.0129,0.5598,0.5937,0.0002

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6283,0.5718,0.6283,0.5926
2,0.6043,0.5549,0.6043,0.5703
3,0.6087,0.5663,0.6087,0.5655
4,0.5870,0.5728,0.5870,0.5644
5,0.5913,0.5577,0.5913,0.5598
6,0.6261,0.5834,0.6261,0.5937
7,0.5913,0.5719,0.5913,0.5686
8,0.6022,0.5515,0.6022,0.5693
9,0.6217,0.6138,0.6217,0.5931
10,0.6065,0.5735,0.6065,0.5627
