metric,mean(var),std,min,max,var
accuracy,0.5505(0.0000),0.0057,0.5333,0.5524,0.0000
precision,0.3440(0.0001),0.0077,0.3210,0.3466,0.0001
recall,0.5505(0.0000),0.0057,0.5333,0.5524,0.0000
f1_score,0.4095(0.0000),0.0057,0.3925,0.4114,0.0000

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5524,0.3466,0.5524,0.4114
2,0.5524,0.3466,0.5524,0.4114
3,0.5524,0.3466,0.5524,0.4114
4,0.5524,0.3466,0.5524,0.4114
5,0.5524,0.3466,0.5524,0.4114
6,0.5524,0.3466,0.5524,0.4114
7,0.5333,0.3210,0.5333,0.3925
8,0.5524,0.3466,0.5524,0.4114
9,0.5524,0.3466,0.5524,0.4114
10,0.5524,0.3466,0.5524,0.4114
