metric,mean(var),std,min,max,var
accuracy,0.763(0.001),0.0355,0.7002,0.8129,0.0013
precision,0.784(0.001),0.0327,0.7200,0.8178,0.0011
recall,0.763(0.001),0.0355,0.7002,0.8129,0.0013
f1_score,0.763(0.001),0.0345,0.7031,0.8033,0.0012

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7746,0.7988,0.7746,0.7755
2,0.7914,0.8178,0.7914,0.7937
3,0.7818,0.8104,0.7818,0.7876
4,0.7074,0.7200,0.7074,0.7031
5,0.8129,0.8173,0.8129,0.8033
6,0.7890,0.7913,0.7890,0.7860
7,0.7410,0.7512,0.7410,0.7345
8,0.7458,0.7820,0.7458,0.7541
9,0.7818,0.8106,0.7818,0.7844
10,0.7002,0.7440,0.7002,0.7072
