metric,mean,std,min,max,var
accuracy,0.6267,0.0493,0.5619,0.7143,0.0024
precision,0.6554,0.0563,0.5539,0.7466,0.0032
recall,0.6267,0.0493,0.5619,0.7143,0.0024
f1_score,0.6053,0.0630,0.5102,0.7142,0.0040

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7079,0.7136,0.7079,0.7013
2,0.5619,0.5539,0.5619,0.5102
3,0.5714,0.5991,0.5714,0.5324
4,0.6349,0.6762,0.6349,0.6029
5,0.7143,0.7466,0.7143,0.7142
6,0.6476,0.6665,0.6476,0.6460
7,0.5905,0.6475,0.5905,0.5572
8,0.6190,0.7042,0.6190,0.5944
9,0.6222,0.6499,0.6222,0.5991
10,0.5968,0.5966,0.5968,0.5954
