metric,mean(var),std,min,max,var
accuracy,0.814(0.001),0.0329,0.7569,0.8672,0.0011
precision,0.8376(0.0006),0.0254,0.7921,0.8787,0.0006
recall,0.8143(0.0011),0.0329,0.7569,0.8672,0.0011
f1_score,0.8106(0.0014),0.0377,0.7452,0.8631,0.0014

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8170,0.8407,0.8170,0.8165
2,0.7870,0.8437,0.7870,0.7911
3,0.8446,0.8498,0.8446,0.8432
4,0.8170,0.8306,0.8170,0.8196
5,0.7569,0.7921,0.7569,0.7452
6,0.8421,0.8787,0.8421,0.8515
7,0.8672,0.8679,0.8672,0.8631
8,0.7820,0.8086,0.7820,0.7598
9,0.7895,0.8142,0.7895,0.7821
10,0.8396,0.8498,0.8396,0.8342
