metric,mean,std,min,max,var
accuracy,0.5983,0.0088,0.5804,0.6087,0.0001
precision,0.5720,0.0153,0.5404,0.5958,0.0002
recall,0.5983,0.0088,0.5804,0.6087,0.0001
f1_score,0.5720,0.0105,0.5517,0.5885,0.0001

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5804,0.5759,0.5804,0.5688
2,0.6022,0.5404,0.6022,0.5576
3,0.6065,0.5841,0.6065,0.5885
4,0.5957,0.5772,0.5957,0.5749
5,0.6000,0.5832,0.6000,0.5820
6,0.5935,0.5958,0.5935,0.5792
7,0.6087,0.5672,0.6087,0.5748
8,0.5870,0.5514,0.5870,0.5517
9,0.6087,0.5728,0.6087,0.5755
10,0.6000,0.5721,0.6000,0.5668
