metric,mean(var),std,min,max,var
accuracy,0.5289(0.0012),0.0342,0.4730,0.5905,0.0012
precision,0.5673(0.0041),0.0637,0.4660,0.6495,0.0041
recall,0.5289(0.0012),0.0342,0.4730,0.5905,0.0012
f1_score,0.4930(0.0029),0.0542,0.4266,0.5847,0.0029

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5143,0.5249,0.5143,0.5055
2,0.5905,0.6417,0.5905,0.5847
3,0.5079,0.5779,0.5079,0.4414
4,0.5556,0.6495,0.5556,0.5141
5,0.4921,0.5578,0.4921,0.4748
6,0.5333,0.4660,0.5333,0.4473
7,0.5111,0.6431,0.5111,0.4266
8,0.5683,0.5901,0.5683,0.5722
9,0.4730,0.4697,0.4730,0.4349
10,0.5429,0.5518,0.5429,0.5284
