metric,mean,std,min,max,var
accuracy,0.6260,0.0459,0.5206,0.6857,0.0021
precision,0.6731,0.0412,0.5775,0.7288,0.0017
recall,0.6260,0.0459,0.5206,0.6857,0.0021
f1_score,0.6143,0.0561,0.4840,0.6828,0.0031

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6000,0.6714,0.6000,0.5846
2,0.6762,0.6882,0.6762,0.6745
3,0.5206,0.5775,0.5206,0.4840
4,0.6857,0.6982,0.6857,0.6828
5,0.6032,0.7288,0.6032,0.5911
6,0.6222,0.6628,0.6222,0.6025
7,0.6095,0.6267,0.6095,0.5872
8,0.6349,0.7097,0.6349,0.6315
9,0.6730,0.6887,0.6730,0.6712
10,0.6349,0.6787,0.6349,0.6336
