metric,mean(var),std,min,max,var
accuracy,0.856(0.000),0.0188,0.8221,0.8797,0.0004
precision,0.8623(0.0003),0.0182,0.8275,0.8836,0.0003
recall,0.8561(0.0004),0.0188,0.8221,0.8797,0.0004
f1_score,0.8524(0.0004),0.0206,0.8127,0.8797,0.0004

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8672,0.8820,0.8672,0.8630
2,0.8446,0.8596,0.8446,0.8416
3,0.8521,0.8569,0.8521,0.8510
4,0.8521,0.8509,0.8521,0.8467
5,0.8221,0.8275,0.8221,0.8127
6,0.8797,0.8829,0.8797,0.8761
7,0.8697,0.8709,0.8697,0.8651
8,0.8296,0.8391,0.8296,0.8243
9,0.8797,0.8836,0.8797,0.8797
10,0.8647,0.8690,0.8647,0.8635
