metric,mean(var),std,min,max,var
accuracy,0.6130(0.0021),0.0458,0.5238,0.6857,0.0021
precision,0.6344(0.0028),0.0526,0.5132,0.7153,0.0028
recall,0.6130(0.0021),0.0458,0.5238,0.6857,0.0021
f1_score,0.6013(0.0023),0.0477,0.5119,0.6796,0.0023

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6571,0.6680,0.6571,0.6432
2,0.6857,0.6899,0.6857,0.6796
3,0.6063,0.6282,0.6063,0.5937
4,0.6032,0.6004,0.6032,0.5987
5,0.6571,0.6569,0.6571,0.6562
6,0.6063,0.6188,0.6063,0.5810
7,0.5968,0.7153,0.5968,0.5858
8,0.5238,0.5132,0.5238,0.5119
9,0.6349,0.6349,0.6349,0.6157
10,0.5587,0.6183,0.5587,0.5469
