metric,mean,std,min,max,var
accuracy,0.5846,0.0166,0.5630,0.6130,0.0003
precision,0.5745,0.0186,0.5432,0.6028,0.0003
recall,0.5846,0.0166,0.5630,0.6130,0.0003
f1_score,0.5728,0.0162,0.5534,0.6048,0.0003

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5674,0.5432,0.5674,0.5534
2,0.5826,0.5912,0.5826,0.5845
3,0.5630,0.5669,0.5630,0.5584
4,0.5870,0.5840,0.5870,0.5778
5,0.5674,0.5505,0.5674,0.5548
6,0.5957,0.5641,0.5957,0.5622
7,0.5717,0.5638,0.5717,0.5616
8,0.5891,0.5873,0.5891,0.5858
9,0.6130,0.6028,0.6130,0.6048
10,0.6087,0.5917,0.6087,0.5844
