metric,mean(var),std,min,max,var
accuracy,0.841(0.001),0.0307,0.7820,0.8897,0.0009
precision,0.8561(0.0004),0.0204,0.8232,0.8926,0.0004
recall,0.8406(0.0009),0.0307,0.7820,0.8897,0.0009
f1_score,0.8370(0.0012),0.0345,0.7674,0.8898,0.0012

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8622,0.8650,0.8622,0.8597
2,0.7820,0.8232,0.7820,0.7674
3,0.8045,0.8342,0.8045,0.8007
4,0.8471,0.8625,0.8471,0.8438
5,0.8496,0.8644,0.8496,0.8451
6,0.8571,0.8635,0.8571,0.8580
7,0.8897,0.8926,0.8897,0.8898
8,0.8095,0.8280,0.8095,0.8017
9,0.8421,0.8557,0.8421,0.8431
10,0.8622,0.8720,0.8622,0.8612
