metric,mean(var),std,min,max,var
accuracy,0.6314(0.0037),0.0608,0.5206,0.7270,0.0037
precision,0.6602(0.0024),0.0495,0.5849,0.7303,0.0024
recall,0.6314(0.0037),0.0608,0.5206,0.7270,0.0037
f1_score,0.6132(0.0046),0.0677,0.4905,0.7201,0.0046

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7270,0.7303,0.7270,0.7201
2,0.6063,0.6488,0.6063,0.5950
3,0.5206,0.5852,0.5206,0.4905
4,0.6889,0.6926,0.6889,0.6692
5,0.6603,0.7127,0.6603,0.6363
6,0.6794,0.6945,0.6794,0.6659
7,0.6667,0.6924,0.6667,0.6579
8,0.5683,0.6169,0.5683,0.5440
9,0.6222,0.6440,0.6222,0.6156
10,0.5746,0.5849,0.5746,0.5373
