metric,mean,std,min,max,var
accuracy,0.5880,0.0193,0.5565,0.6283,0.0004
precision,0.5717,0.0182,0.5470,0.6155,0.0003
recall,0.5880,0.0193,0.5565,0.6283,0.0004
f1_score,0.5719,0.0169,0.5509,0.6122,0.0003

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.5870,0.5674,0.5870,0.5699
2,0.5935,0.5623,0.5935,0.5745
3,0.6283,0.6155,0.6283,0.6122
4,0.5761,0.5785,0.5761,0.5648
5,0.6022,0.5845,0.6022,0.5886
6,0.5870,0.5617,0.5870,0.5654
7,0.5739,0.5539,0.5739,0.5537
8,0.6043,0.5784,0.6043,0.5752
9,0.5565,0.5470,0.5565,0.5509
10,0.5717,0.5675,0.5717,0.5634
