metric,mean(var),std,min,max,var
accuracy,0.6292(0.0015),0.0388,0.5460,0.6857,0.0015
precision,0.6608(0.0028),0.0529,0.5401,0.7260,0.0028
recall,0.6292(0.0015),0.0388,0.5460,0.6857,0.0015
f1_score,0.6125(0.0016),0.0398,0.5432,0.6820,0.0016

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6603,0.6783,0.6603,0.6004
2,0.6095,0.6142,0.6095,0.6021
3,0.6413,0.6547,0.6413,0.6306
4,0.5460,0.6769,0.5460,0.5432
5,0.6222,0.6466,0.6222,0.6120
6,0.6857,0.7260,0.6857,0.6820
7,0.6540,0.7150,0.6540,0.6472
8,0.5841,0.5401,0.5841,0.5500
9,0.6571,0.7144,0.6571,0.6323
10,0.6317,0.6420,0.6317,0.6254
