metric,mean(var),std,min,max,var
accuracy,0.849(0.027),0.0270,0.7965,0.8809,0.0007
precision,0.852(0.025),0.0246,0.8003,0.8803,0.0006
recall,0.849(0.027),0.0270,0.7965,0.8809,0.0007
f1_score,0.845(0.027),0.0272,0.7893,0.8802,0.0007

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7965,0.8003,0.7965,0.7893
2,0.8412,0.8543,0.8412,0.8431
3,0.8412,0.8429,0.8412,0.8355
4,0.8809,0.8803,0.8809,0.8802
5,0.8710,0.8699,0.8710,0.8665
6,0.8040,0.8135,0.8040,0.8045
7,0.8635,0.8627,0.8635,0.8547
8,0.8635,0.8657,0.8635,0.8617
9,0.8586,0.8575,0.8586,0.8535
10,0.8685,0.8712,0.8685,0.8650
